Ссылка,Заголовок,Текст,Темы,Дата,Время
https://www.metalinfo.ru/ru/news/159255,На Уральской Стали нашли способ увеличения производства агломерата (видео),"Выдать 240 тысяч тонн агломерата в месяц – такая задача стоит перед металлургами Уральской Стали. Для ее решения специалисты агломерационного цеха претворяют в жизнь проекты по повышению производительности оборудования.
Подробности смотрите в видеосюжете.
",Уральская сталь,2024-03-21T16:06,21 марта 2024 г.
https://www.metalinfo.ru/ru/news/159254,Конкурс профессионального мастерства машинистов кранов прошёл на Лебединском ГОКе (видео),"Им сверху видно всё! В известной песне – речь о лётчиках, но это справедливо и для машинистов кранов. Без их взгляда сверху, из кабины, не обходится ни одно производство. Причем, в этом деле преимущественно заняты женщины. На Лебединском ГОКе для них прошёл конкурс профмастерства. За звание лучшего машиниста крана боролись 12 сотрудниц. И изящества им было не занимать
",Лебединский ГОК,2024-03-21T15:21,21 марта 2024 г.
https://www.metalinfo.ru/ru/news/159246,На ЕВРАЗ НТМК установили новую аспирационную систему,"На участке фасонного литья ЕВРАЗ НТМК завершается экологический проект оснащения технологического оборудования аспирационной системой. По программе снижения воздействия производственной деятельности на окружающую среду работы будут продолжены на перегрузочных станциях коксохимического производства.
Производительность новой аспирационной установки в фасонно-литейном цехе – 85 800 куб. м газа в час. Она смонтирована над дуговой электросталеплавильной печью, предназначенной для выплавки чугуна и стали. Новая система мгновенно поглощает газы, образующиеся в процессе производства, а мощные фильтры очищают их от вредных примесей.
«Благодаря новой аспирационной установке снизится запыленность на рабочих местах. Будут улучшены условия труда 80 металлургов. Значительно уменьшатся выбросы в атмосферный воздух. Применение рукавного фильтра в технологическом процессе соответствует наилучшим доступным технологиям. Также на уральских предприятиях ЕВРАЗа продолжается реализация мероприятий по проекту «Чистый воздух». Мы модернизируем производство и планомерно снижаем нагрузку на окружающую среду в Нижнем Тагиле», - отметил директор по экологии дивизиона «Урал» Сергей Сергеев.
До 2024 года ЕВРАЗ НТМК направил на реализацию проекта «Чистый воздух» более 4 млрд рублей. Из 9 мероприятий, утвержденных комплексным планом по снижению выбросов загрязняющих веществ в атмосферный воздух Нижнего Тагила, выполнено 6. В числе самых масштабных - техническое перевооружение доменных печей № 6 и 7, запуск установки охлаждения коксового газа на коксохимическом производстве комбината. Выбросы снижены на 7,9 тыс. тонн при плановом показателе 6,5 тыс. тонн.",ЕВРАЗ НТМК;Экология,2024-03-21T14:09,21 марта 2024 г.
https://www.metalinfo.ru/ru/news/159232,А делать пока нечего. Российский рынок листового проката и сварных труб: 13-20 марта,"Еще большее ценовое разнообразие наблюдается в трубном секторе. В Москве некоторые компании устанавливают в прайс-листах котировки на сварные трубы средних размеров на уровне 69-70 тыс. руб. за т, тогда как минимальный уровень у других поставщиков составляет 63,5 тыс. руб. за т. Такая же ситуация и в других регионах. Кто-то поднимает цены, а кто-то при продажах делает ставку на предложения дешевой продукции.
Проблема заключается в том, что спрос на горячекатаный прокат и трубы пока недостаточно высокий. В целом участники рынка сообщают о некоторой активизации потребителей, но за продажи приходится бороться, так как объем предложения остается избыточным. Кстати, у металлургов дела обстоят лучше. Они имеют хорошую обеспеченность заказами на горяче- и холоднокатаный прокат на апрель, а по оцинкованной стали и вовсе могут диктовать свои условия покупателям.
С полным текстом обзора Вы можете ознакомиться поссылке.
Приглашаем всех принять участие в новыхвыставкахиконференциях, которые состоятся в 2024 г.! В Баку 18-19 апреля пройдетконференция ""Рынок металлов Центральной Азии и Закавказья"". А 25-26 апреля в Волгограде и Волжском состоится конференция ""Нержавеющая сталь и российский рынок"".",Цены;Российский рынок металлов;листовой прокат;Прогнозы;сварные трубы,2024-03-21T12:00,21 марта 2024 г.
https://www.metalinfo.ru/ru/news/159222,ЦНИИчермет им. И.П. Бардина проводит экспертизу неразрушающего контроля металлопродукции,"В ЦНИИчермет с прошлого года работают 4 новых научно-исследовательских центра. Один из них - Научный центр неразрушающего контроля (НЦНК) - создан с целью развития отечественной науки в области неразрушающего контроля металлургии и оказания научно-технической помощи профильным предприятиям на базе фундаментальных и прикладных научных достижений.
Сотрудники центра проводят НИОКР в области неразрушающего контроля (НК) металлических материалов и машиностроительных изделий по ряду направлений. Среди них - экспертиза НК образцов материалов и готовой металлопродукции в рамках договорных работ с предприятиями металлургической отрасли и тяжелого машиностроения. НЦНК ориентируется на совершенствование существующих и создание новых методов, технологий и приборов НК для применения при производстве продукции металлургической отрасли и тяжелого машиностроения.",ЦНИИчермет им. И.П. Бардина;отраслевая наука;неразрушающий контроль,2024-03-21T09:53,21 марта 2024 г.
https://www.metalinfo.ru/ru/news/159213,"НВТЗ в 2023 г. снизил производство на 3,5%, но увеличил продажи на 14%","Нижне-Волжский трубный завод (НВТЗ, Волгоградская область) по итогам 2023 года сократило производство на 3,5% по сравнению с показателем 2022 года - до 407 тыс. тонн, сообщили ""Интерфаксу"" на предприятии.
""Снижение объемов было вызвано рыночными реалиями, необходимостью оптимизации остатков на складах и диверсификацией производства"", - сказал собеседник агентства.
При этом, он отметил, что в ушедшем году объем реализации продукции по всем бизнес-направлениям вырос на 14%, до 495 тыс. тонн.
""В том числе, несмотря на введенные в 2023 году вывозные таможенные пошлины на товар, удалось не только удержать экспортные объемы отгрузки, но и даже прирасти на 24% - до 125 тыс. тонн"", - отметил представитель завода.
В 2020 году НВТЗ объединил мощности трех производителейтруб малого и среднего диаметровв Южном федеральном округе: ТЗ ""Профиль-Акрас"", ПК ""ДИА"" и ""Волжский трубопрофильный завод"" (ВТПЗ). Производственная площадка включает в себя 17 трубоэлектросварочных станов суммарной мощностью более 600 тыс. тонн продукции в год. Их продукция - стальные трубы - используется для водо- и газоснабжения, строительства быстровозводимых зданий и тепличных хозяйств, обустройства детских площадок, парковых зон и других объектов городской инфраструктуры, производства мебели.",Нижне-Волжский трубный завод;стальные трубы,2024-03-21T08:00,21 марта 2024 г.
https://www.metalinfo.ru/ru/news/159212,На Уральской Стали завершили капитальный ремонт доменной печи №4 (видео),"За четверо суток заменили на новый важнейший агрегат печи — загрузочный аппарат. Именно через него в домну непрерывно поступает шихта.
Чтобы всё было сделано в срок, на объект вышли пять подрядных организаций и несколько цехов дирекции по техническому обслуживанию и ремонтам.
Снятый загрузочный аппарат пройдёт через руки специалистов УПЗЧ и через год он снова займёт место на печи.",Уральская сталь;ремонты,2024-03-21T07:12,21 марта 2024 г.
https://www.metalinfo.ru/ru/news/159208,Новосталь-М усиливает позиции в области грузовых перевозок,"В рамках выставки TransRussia-2024 генеральный директор компании «Деметра-Холдинг» Алексей Грибанов и председатель правления Новосталь-М Иван Демченко подписали Меморандум о сотрудничестве в области грузовых перевозок ж/д транспортом.
Этот документ является ключевым шагом в укреплении партнерских отношений между компаниями и позволит им эффективно сотрудничать в области логистики и международных перевозок, открывая новые возможности для развития обеих организаций.В рамках Меморандума также был заключен Сервисный договор между дочерними предприятиями обеих компаний – «Грузовая компания» и «НМ Логистик», который будет гарантировать своевременную поставку товаров на экспорт и укрепит позиции компаний на рынке.
Также было подписано соглашение о сотрудничестве между АО «РЖД Логистика» и ООО «НМ Логистик». Компании договорились о совместном развитии партнерства логистических услуг для перевозок грузов из Китая в Россию и в направлении МТК «Север-Юг» с участием Индии, Ирана и стран Персидского залива.
Соглашение позволит привлечь новую грузовую базу и расширить возможности для экспортеров и импортеров в Приволжском федеральном округе.",Грузоперевозки;Экспорт;Логистика;экспорт металлопродукции;Новосталь-М,2024-03-21T06:04,21 марта 2024 г.
https://www.metalinfo.ru/ru/news/159204,Северсталь выводит на рынок мелющие шары 5-й группы твердости Iconball (видео),"В новом ролике рассказывается, как новый продукт позволит сделать добывающую промышленность эффективнее. Вместе с экспертами «Северстали» и цифровой помощницей Металликой зритель окажется на производстве и в лаборатории механических испытаний, посетит «Карельский окатыш», чтобы рассмотреть эту новинку со всех сторон.
",Северсталь;мелющие шары,2024-03-20T16:04,20 марта 2024 г.
https://www.metalinfo.ru/ru/news/159172,«Энергоспецмаш» отгрузил новый шлаковоз,"В марте 2024 г. специалисты «Многопрофильного производственного предприятия «Энергоспецмаш»» (г.Мариуполь, Донецкая Народная Республика) закончили изготовление, провели испытание и отправили заказчику – ООО «Партнер» – шлаковоз ШН-В-16. В настоящее время на предприятии изготавливают следующий шлаковоз, – сообщает пресс-служба Министерства промышленности и торговли ДНР.
«Шлаковоз предназначен для транспортировки шлаковозной чаши вместимостью 16 м3 с жидким шлаком к местам его переработки или в отвал. Его перемещают по железнодорожным путям с помощью тягового подвижного состава», – поясняют в пресс-службе.
ООО «МПП «Энергоспецмаш»» специализируется на изготовлении нестандартного оборудования для различных отраслей промышленности; подъемно-транспортного оборудования и запчастей для предприятий металлургической отрасли (шлаковозы, скраповозы, сталевозы, скипы, лебедки скиповые и пр.), горнодобывающей отрасли, морских и речных портов; машин и оборудования для коксохимических предприятий.В октябре 2023 г. предприятие поставило на Енакиевский металлургический завод (ЕМЗ, г.Енакиево, ДНР) детали для сталеразливочного ковша конвертерного цеха, а также детали для скраповоза. В ноябре 2023 г. оно отгрузило на ЕМЗ канатный шкив. В декабре 2023 г. специалисты МПП приступили к восстановлению прокатных роликов методом наплавки для Алчевского металлургического комбината (АМК, г.Алчевск, Луганская Народная Республика). В этом же месяце они изготовили для АМК тележку трансферкара. В феврале 2024 г. специалисты МПП закончили изготовление и отправили заказчику 2 редуктора ГК-1300.",Оборудование;оборудование для металлургии;Металлургмаш,2024-03-20T15:11,20 марта 2024 г.
